Gene,KKU156,KKU213,KKU214,HuCCA1,RBE,KKK138,HuCCT1,HuH28,KKK068,KKK131,KKU055,KKU100,SSP25,TFK1,YSCCC
PIGK,3.372932933,3.854326931,3.229618853,3.899402522,2.177167705,3.830248471,4.094867885,5.465599401,2.505532233,3.235645261,2.666033735,3.343220828,3.411124239,2.899961264,3.339468218
PIGM,2.649674032,2.125621323,1.514935928,2.598102605,2.36312959,1.996031128,2.195762057,1.546741,4.320723604,2.536602125,2.011955569,1.715335459,0.603847348,1.56051165,2.304938367
PIGN,0.940961074,2.663168261,2.35922694,3.0747458,2.578564612,2.184643116,2.275398032,2.140706849,0.873691649,2.436544022,2.264111129,2.712897801,0.497272469,1.000623719,2.393866109
PIGO,1.542344433,0.541092946,2.020779807,1.260293206,1.805398058,0.87344953,2.95633375,0.25019659,1.774619826,1.692035141,0.70555255,2.148554998,1.477998776,1.642796956,1.596854944
PIGP,2.814106618,1.705255248,1.847885174,0.707021286,1.414989042,1.109870635,1.366495147,1.550873227,2.603640537,2.090007595,1.525508576,3.681887165,2.339328467,0.669118605,2.949671469
PIGQ,1.132712573,1.154404421,0.788093011,1.908435702,1.728652527,1.921043845,0.884901517,1.803125489,2.136605663,2.051588081,1.384787699,1.721476032,1.340954317,0.441456594,1.303353968
PIGS,3.706206738,2.863733575,4.167803014,3.815142831,3.804140121,4.445158813,3.479550298,3.105079622,2.956519,3.465996154,2.395664946,3.150820776,2.969550879,2.456519566,2.74713648
PIGT,5.042729399,5.237380973,5.249509507,5.324925232,4.061899156,5.392318646,4.083156595,5.143221683,4.942871545,5.782810912,4.898142664,5.056285756,4.540055946,2.991090202,6.000769965
PIGU,4.063253191,2.496786567,2.895353181,3.363839605,2.259709361,2.867742234,3.901165368,3.131363753,3.420911724,3.886927179,3.188413626,4.521999073,2.387179454,3.875905255,3.219279729
PIGV,1.195040821,1.404988599,1.420239546,1.209366363,0.364870677,0.912256298,1.753256855,1.763698223,1.1287136,1.508316423,1.045022092,2.182231528,0.741797597,1.751880607,1.792809254
PIGW,4.087943754,3.30230685,3.869605581,4.028316768,4.03585852,3.305169391,4.124707878,2.74883189,3.955758346,4.133223515,3.878636394,4.234419764,2.781895589,4.505401888,2.465904917
PIGX,2.521788528,1.996510237,2.677777115,3.714748882,2.320632165,3.064050692,3.545482198,3.602978842,2.852997175,3.134153586,3.749979941,3.894634862,3.431405698,2.460378609,4.3082419
PIGY,4.99299239,4.17700863,4.630367676,4.203211659,3.101977079,4.825690253,3.893851091,3.664152078,4.281848696,3.160081538,4.3079338,4.478439555,2.190579753,2.99873658,3.916878518
PIGZ,1.531214369,1.190055793,0.742441774,1.472514876,1.33944714,3.223793033,0.612664222,0.400746455,1.051308442,0.047911232,2.866706179,1.826723712,1.870648537,0.762910975,1.817118556
