"Gene","mean.CCA1","mean.CCA2","ratio","wilcox.pvalue","VIP.rf","Accuracy.rf","VIP.plsda","Accuracy.plsda","Drug"
"SDC2",5.18565933987057,0.720654033467618,7.19576814816174,0.00775533031026548,39.8058252427184,1,100,1,"BGJ398-Nov"
"SDC2.1",5.18565933987057,0.720654033467618,7.19576814816174,0.00775533031026548,36.8932038834951,1,100,1,"BGJ398-Nov"
"COL3A1",4.45007382725767,0.679181429720359,6.55211351860712,0.0101037501487158,33.0097087378641,1,72.933108338994,1,"BGJ398-Nov"
"COL3A1.1",4.45007382725767,0.679181429720359,6.55211351860712,0.0101037501487158,38.8349514563107,1,72.933108338994,1,"BGJ398-Nov"
"TMPRSS6",3.36238249224942,1.3619946403189,2.46871932731112,0.0112454663501566,36.8932038834951,1,36.6920232189235,1,"BGJ398-Nov"
"TMPRSS6.1",3.36238249224942,1.3619946403189,2.46871932731112,0.0112454663501566,20.3883495145631,1,36.6920232189235,1,"BGJ398-Nov"
"FERMT2",5.53253130490791,3.13341396405203,1.76565604429535,0.0114660214041265,18.4466019417476,1,23.4200505161453,1,"BGJ398-Nov"
"FERMT2.1",5.53253130490791,3.13341396405203,1.76565604429535,0.0114660214041265,47.5728155339806,1,23.4200505161453,1,"BGJ398-Nov"
"TNFSF15",0.236457511795166,1.59096996671798,0.14862474889011,0.0114660214041265,47.5728155339806,1,42.9301390452877,1,"BGJ398-Nov"
"TNFSF15.1",0.236457511795166,1.59096996671798,0.14862474889011,0.0114660214041265,36.8932038834952,1,42.9301390452877,1,"BGJ398-Nov"
"CTSB",7.08768894874101,5.74850085523691,1.23296301544151,0.011539988490259,29.126213592233,1,30.8707141702521,1,"BGJ398-Nov"
"CTSB.1",7.08768894874101,5.74850085523691,1.23296301544151,0.011539988490259,49.5145631067961,1,30.8707141702521,1,"BGJ398-Nov"
"EHD1",2.85882474284446,4.01503633902491,0.712029606072944,0.011539988490259,49.5145631067961,1,27.5293350114542,1,"BGJ398-Nov"
"EHD1.1",2.85882474284446,4.01503633902491,0.712029606072944,0.011539988490259,79.6116504854369,1,27.5293350114542,1,"BGJ398-Nov"
"ELF1",3.25382666373897,4.37126609067685,0.744367100112896,0.011539988490259,57.2815533980583,1,10.0492240117409,1,"BGJ398-Nov"
"ELF1.1",3.25382666373897,4.37126609067685,0.744367100112896,0.011539988490259,37.8640776699029,1,10.0492240117409,1,"BGJ398-Nov"
"PGLYRP1",3.84257401483915,2.18643423455834,1.75746151158091,0.011539988490259,32.0388349514563,1,38.908928764785,1,"BGJ398-Nov"
"PGLYRP1.1",3.84257401483915,2.18643423455834,1.75746151158091,0.011539988490259,51.4563106796116,1,38.908928764785,1,"BGJ398-Nov"
"RARA",1.56766782954398,2.80995941507522,0.557896965035708,0.011539988490259,36.8932038834952,1,25.3964681126205,1,"BGJ398-Nov"
"RARA.1",1.56766782954398,2.80995941507522,0.557896965035708,0.011539988490259,79.6116504854369,1,25.3964681126205,1,"BGJ398-Nov"
"RB1",2.41587189156436,4.13762004082348,0.583879589650176,0.011539988490259,20.3883495145631,1,34.5191463559818,1,"BGJ398-Nov"
"RB1.1",2.41587189156436,4.13762004082348,0.583879589650176,0.011539988490259,43.6893203883495,1,34.5191463559818,1,"BGJ398-Nov"
"MAP7",0.681632928897324,3.40298311008758,0.200304528951888,0.0171396095524722,49.5145631067961,1,64.670771150627,1,"BGJ398-Nov"
"MAP7.1",0.681632928897324,3.40298311008758,0.200304528951888,0.0171396095524722,20.3883495145631,1,64.670771150627,1,"BGJ398-Nov"
"F2RL1",0.94844069832337,4.06697400733805,0.233205497898953,0.017239020558591,24.2718446601942,1,87.5123738170244,1,"BGJ398-Nov"
"F2RL1.1",0.94844069832337,4.06697400733805,0.233205497898953,0.017239020558591,32.0388349514563,1,87.5123738170244,1,"BGJ398-Nov"
"FSTL1",7.83495342363548,4.68171627680794,1.67352162335165,0.017239020558591,12.621359223301,1,46.3385482170972,1,"BGJ398-Nov"
"FSTL1.1",7.83495342363548,4.68171627680794,1.67352162335165,0.017239020558591,65.0485436893204,1,46.3385482170972,1,"BGJ398-Nov"
"HES1",4.21244205919486,5.58671713482443,0.754010263547599,0.017239020558591,32.0388349514563,1,34.8614693487928,1,"BGJ398-Nov"
"HES1.1",4.21244205919486,5.58671713482443,0.754010263547599,0.017239020558591,32.0388349514563,1,34.8614693487928,1,"BGJ398-Nov"
"ITGAV",6.51070001720275,4.2597467408456,1.52842420296337,0.017239020558591,33.0097087378641,1,34.4892838394461,1,"BGJ398-Nov"
"ITGAV.1",6.51070001720275,4.2597467408456,1.52842420296337,0.017239020558591,44.6601941747573,1,34.4892838394461,1,"BGJ398-Nov"
"JUP",1.27720347188764,4.71590934742637,0.270828673283266,0.017239020558591,24.2718446601942,1,84.5058971712439,1,"BGJ398-Nov"
"JUP.1",1.27720347188764,4.71590934742637,0.270828673283266,0.017239020558591,16.504854368932,1,84.5058971712439,1,"BGJ398-Nov"
"PFN2",7.18459554665661,5.72160780006117,1.25569521675005,0.017239020558591,45.631067961165,1,27.8297569208339,1,"BGJ398-Nov"
"PFN2.1",7.18459554665661,5.72160780006117,1.25569521675005,0.017239020558591,47.5728155339806,1,27.8297569208339,1,"BGJ398-Nov"
"RAB17",0.601981450459842,3.1757680227534,0.189554604160893,0.017239020558591,67.9611650485437,1,70.8577940129611,1,"BGJ398-Nov"
"RAB17.1",0.601981450459842,3.1757680227534,0.189554604160893,0.017239020558591,15.5339805825243,1,70.8577940129611,1,"BGJ398-Nov"
"AREG",0.139342742903923,2.11389645345349,0.0659174874324035,0.0197902447819336,25.2427184466019,1,39.3722884262771,1,"BGJ398-Nov"
"AREG.1",0.139342742903923,2.11389645345349,0.0659174874324035,0.0197902447819336,7.76699029126214,1,39.3722884262771,1,"BGJ398-Nov"
"IGFBP2",5.37097310968494,1.52310644109509,3.52632814409432,0.0208547615097147,21.3592233009709,1,91.6764603121649,1,"BGJ398-Nov"
"IGFBP2.1",5.37097310968494,1.52310644109509,3.52632814409432,0.0208547615097147,54.368932038835,1,91.6764603121649,1,"BGJ398-Nov"
"WNT5A",3.60198011305645,1.02093222237353,3.52812854185593,0.0239781507607983,23.3009708737864,1,69.6738300882641,1,"BGJ398-Nov"
"WNT5A.1",3.60198011305645,1.02093222237353,3.52812854185593,0.0239781507607983,60.1941747572816,1,69.6738300882641,1,"BGJ398-Nov"
"LAD1",0.606996641489629,4.61197298559138,0.131613225703185,0.0247510954130993,16.504854368932,1,53.6591244259908,1,"BGJ398-Nov"
"LAD1.1",0.606996641489629,4.61197298559138,0.131613225703185,0.0247510954130993,13.5922330097087,1,53.6591244259908,1,"BGJ398-Nov"
"P2RY2",0.281944403228001,2.07655484756381,0.135775081288498,0.0247510954130993,8.7378640776699,1,14.1290212519667,1,"BGJ398-Nov"
"P2RY2.1",0.281944403228001,2.07655484756381,0.135775081288498,0.0247510954130993,12.621359223301,1,14.1290212519667,1,"BGJ398-Nov"
"RNF144B",0.315303879849216,2.24715839658387,0.140312262957761,0.0247510954130993,8.7378640776699,1,16.8791682200769,1,"BGJ398-Nov"
"RNF144B.1",0.315303879849216,2.24715839658387,0.140312262957761,0.0247510954130993,20.3883495145631,1,16.8791682200769,1,"BGJ398-Nov"
"PMP22",4.8583189709932,2.30672376912053,2.10615550766424,0.0251407921526588,40.7766990291262,1,27.1754634084249,1,"BGJ398-Nov"
"PMP22.1",4.8583189709932,2.30672376912053,2.10615550766424,0.0251407921526588,15.5339805825243,1,27.1754634084249,1,"BGJ398-Nov"
"CNN3",6.55773792677527,5.10801933318264,1.28381227615467,0.0252711617768706,20.3883495145631,1,33.0673715142487,1,"BGJ398-Nov"
"CNN3.1",6.55773792677527,5.10801933318264,1.28381227615467,0.0252711617768706,4.85436893203884,1,33.0673715142487,1,"BGJ398-Nov"
"EDN1",1.99806780406264,4.89349353773618,0.408311115291058,0.0252711617768706,36.8932038834951,1,89.8575177680953,1,"BGJ398-Nov"
"EDN1.1",1.99806780406264,4.89349353773618,0.408311115291058,0.0252711617768706,12.621359223301,1,89.8575177680953,1,"BGJ398-Nov"
"EIF1",5.41668138270581,6.51949340943031,0.830843908035967,0.0252711617768706,100,1,32.2322858872936,1,"BGJ398-Nov"
"EIF1.1",5.41668138270581,6.51949340943031,0.830843908035967,0.0252711617768706,23.3009708737864,1,32.2322858872936,1,"BGJ398-Nov"
"HBEGF",1.84460451881716,4.60400918369515,0.400651789607573,0.0252711617768706,64.0776699029126,1,66.3493213169549,1,"BGJ398-Nov"
"HBEGF.1",1.84460451881716,4.60400918369515,0.400651789607573,0.0252711617768706,40.7766990291262,1,66.3493213169549,1,"BGJ398-Nov"
"MREG",1.00484172751469,2.75898907923357,0.364206489644328,0.0252711617768706,47.5728155339806,1,39.5620386167441,1,"BGJ398-Nov"
"MREG.1",1.00484172751469,2.75898907923357,0.364206489644328,0.0252711617768706,66.9902912621359,1,39.5620386167441,1,"BGJ398-Nov"
"PGAM2",8.369137172753,6.96872226013535,1.2009571999488,0.0252711617768706,25.2427184466019,1,21.5686283096566,1,"BGJ398-Nov"
"PGAM2.1",8.369137172753,6.96872226013535,1.2009571999488,0.0252711617768706,24.2718446601942,1,21.5686283096566,1,"BGJ398-Nov"
"RNF19B",1.93015216764816,3.31081059019906,0.582984775197338,0.0252711617768706,39.8058252427184,1,34.929659213563,1,"BGJ398-Nov"
"RNF19B.1",1.93015216764816,3.31081059019906,0.582984775197338,0.0252711617768706,33.0097087378641,1,34.929659213563,1,"BGJ398-Nov"
"ST14",0.311504339841738,3.7445374540015,0.0831890036268319,0.0302349155254365,0,1,76.8031819800305,1,"BGJ398-Nov"
"ST14.1",0.311504339841738,3.7445374540015,0.0831890036268319,0.0302349155254365,33.9805825242718,1,76.8031819800305,1,"BGJ398-Nov"
"TNNI1",0.213177203361713,4.28165976173507,0.0497884500928505,0.0302349155254365,26.2135922330097,1,62.2863756401686,1,"BGJ398-Nov"
"TNNI1.1",0.213177203361713,4.28165976173507,0.0497884500928505,0.0302349155254365,39.8058252427184,1,62.2863756401686,1,"BGJ398-Nov"
"COL5A2",4.75381392010784,1.63976601716036,2.8990806434324,0.0306542386328744,13.5922330097087,1,56.0525202131093,1,"BGJ398-Nov"
"COL5A2.1",4.75381392010784,1.63976601716036,2.8990806434324,0.0306542386328744,8.7378640776699,1,56.0525202131093,1,"BGJ398-Nov"
"DGKA",1.22984087406928,3.63351839325501,0.338471074304251,0.0356928224169509,44.6601941747573,1,48.5746221565138,1,"BGJ398-Nov"
"DGKA.1",1.22984087406928,3.63351839325501,0.338471074304251,0.0356928224169509,0,1,48.5746221565138,1,"BGJ398-Nov"
"GJA1",5.11830604273715,1.89154291205966,2.70588946732587,0.0361918088589149,32.0388349514563,1,49.3286816316041,1,"BGJ398-Nov"
"GJA1.1",5.11830604273715,1.89154291205966,2.70588946732587,0.0361918088589149,7.76699029126214,1,49.3286816316041,1,"BGJ398-Nov"
"AKAP12",1.7123192676252,4.1458288295956,0.413022181572369,0.0363585531727907,40.7766990291262,1,54.1356127832985,1,"BGJ398-Nov"
"AKAP12.1",1.7123192676252,4.1458288295956,0.413022181572369,0.0363585531727907,71.8446601941748,1,54.1356127832985,1,"BGJ398-Nov"
"ALDH1A3",3.80972197772236,6.47029230892631,0.588802143060295,0.0363585531727907,29.126213592233,1,50.9725044554023,1,"BGJ398-Nov"
"ALDH1A3.1",3.80972197772236,6.47029230892631,0.588802143060295,0.0363585531727907,7.76699029126214,1,50.9725044554023,1,"BGJ398-Nov"
"CDH1",1.21520447339669,3.93515473923263,0.308807290671791,0.0363585531727907,7.76699029126214,1,31.9294204509478,1,"BGJ398-Nov"
"CDH1.1",1.21520447339669,3.93515473923263,0.308807290671791,0.0363585531727907,8.7378640776699,1,31.9294204509478,1,"BGJ398-Nov"
"CLDN7",1.69756255842844,4.1450956634903,0.409535194417936,0.0363585531727907,0,1,35.5731574179613,1,"BGJ398-Nov"
"CLDN7.1",1.69756255842844,4.1450956634903,0.409535194417936,0.0363585531727907,21.3592233009709,1,35.5731574179613,1,"BGJ398-Nov"
